address,location
685–725 Commonwealth Avenue,"(42.3502728, -71.1055321)"
640 Commonwealth Avenue,"(42.3489018, -71.1023218)"
143 Bay State Road,"(42.3505035, -71.09985850000001)"
264–270 Bay State Road,"(42.35078225, -71.10524017370268)"
138 Mountfort Street,"(42.34848825, -71.10792453810609)"
72 East Concord Street,"(42.3364039, -71.07223994070816)"
925 Commonwealth Avenue,"(42.3522233, -71.11773001441316)"
670 Albany Street,"(42.335202, -71.06984300654784)"
300 Babcock Street,"(42.354296250000004, -71.12122556854106)"
Art Institute of Boston Library,"(42.3485174, -71.0993601)"
5 Cummington Mall,"(42.34865105, -71.10126530464467)"
2 Cummington Mall,"(42.348208549999995, -71.10116164185519)"
665 Commonwealth Avenue,"(42.3500229, -71.10311127482268)"
855 Commonwealth Avenue,"(42.351293600000005, -71.11387671441952)"
871 Commonwealth Avenue,"(42.351481699999994, -71.1145903356746)"
900 Commonwealth Avenue,"(42.3508071, -71.1161896)"
677 Beacon Street,"(42.3481453, -71.0986357601812)"
619 Memorial Drive,"(42.3532496, -71.10777000756758)"
285 Babcock Street,"(42.3539611, -71.1203527)"
801 Massachusetts Avenue,"(42.33302405, -71.07351342066596)"
236 Bay State Road,"(42.350582900000006, -71.10413120618469)"
730 Commonwealth Avenue,"(42.34972105, -71.10750259091596)"
15 St. Mary’s Street,"(42.34936675, -71.1072935998869)"
110–112 Cummington Mall,"(42.349106, -71.105177)"
890 Commonwealth Avenue,"(42.3507339, -71.115618)"
750 Commonwealth Avenue,"(42.3497962, -71.10803121297329)"
48 Cummington Mall,"(42.348654350000004, -71.10350846676505)"
44 Cummington Mall,"(42.34854035, -71.10284565282228)"
180 Riverway,"(42.341954799999996, -71.10605008798282)"
25 Pilgrim Road,"(42.342699749999994, -71.10489130168085)"
150 Riverway,"(42.342985150000004, -71.10519520944966)"
808 Commonwealth Avenue,"(42.35013155, -71.11140104490026)"
704 Commonwealth Avenue,"(42.34945635, -71.105266656638)"
37 Pilgrim Road,"(42.342504399999996, -71.10536300402536)"
915 Commonwealth Avenue,"(42.3518204, -71.11646235858747)"
53 Bay State Road,"(42.350170399999996, -71.095114)"
635 Albany Street,"(42.336374750000004, -71.07016239901102)"
705 Commonwealth Avenue,"(42.35028335, -71.10557727131746)"
775 Commonwealth Avenue,"(42.35097115000001, -71.10897900447887)"
595 Commonwealth Avenue,"(42.349639749999994, -71.09973226925189)"
"43 Hawes Street, Brookline","(42.3437927, -71.10976791168142)"
226 Bay State Road,"(42.3504456, -71.10368611901973)"
888 Commonwealth Avenue,"(42.3507339, -71.115618)"
154 Bay State Road,"(42.3501426, -71.10067825702964)"
152 Bay State Road,"(42.350104849999994, -71.10058154558558)"
147 Bay State Road,"(42.35052185, -71.10009615151182)"
565 Commonwealth Avenue,"(42.349457799999996, -71.09810497506007)"
91 Bay State Road,"(42.3503203, -71.09700303119664)"
765 Commonwealth Avenue,"(42.351064300000004, -71.1075071069339)"
233 Bay State Road,"(42.350860850000004, -71.10386660061369)"
718 Commonwealth Avenue,"(42.3495087, -71.10580869890427)"
24 Cummington Mall,"(42.3483358, -71.10173878356534)"
735 Commonwealth Avenue,"(42.35066235, -71.1064382921208)"
111 Cummington Mall,"(42.349090849999996, -71.1041455900759)"
715 Albany Street,"(42.335479649999996, -71.0717193943673)"
1010 Commonwealth Avenue,"(42.3514835, -71.1212481)"
602 Commonwealth Avenue,"(42.3489751, -71.1009021)"
771 Commonwealth Avenue,"(42.3509964, -71.10799517909709)"
1 Silber Way,"(42.3496881, -71.1001848)"
6–8 St. Mary’s Street,"(42.3491905, -71.1060852)"
232 Bay State Road,"(42.3505083, -71.1039114501441)"
3 Cummington Mall,"(42.34865105, -71.10126530464467)"
64–72–86 Cummington Mall,"(42.34877175, -71.10419840251558)"
949 Commonwealth Avenue,"(42.3517837, -71.1187216)"
145 Bay State Road,"(42.35051115, -71.09995235)"
610 Commonwealth Avenue,"(42.3490585, -71.10153394404658)"
1 University Road,"(42.3510171, -71.10981338167903)"
"Charles River, behind BU Bridge","(42.3520335, -71.11030686731542)"
635 Commonwealth Avenue,"(42.3498642, -71.1020204)"
590–596 Commonwealth Avenue,"(42.348448899999994, -71.10015580728992)"
928 Commonwealth Avenue,"(42.3508802, -71.11750772346343)"
30–38 Cummington Mall,"(42.3484364, -71.10230804217932)"
96–100 Cummington Mall,"(42.34888825, -71.10484432143394)"
745 Commonwealth Avenue,"(42.3505236, -71.10754495805156)"
675 Commonwealth Avenue,"(42.3501003, -71.10383756091035)"
820 Commonwealth Avenue,"(42.351051050235355, -71.1137959187151)"
100 Ashford Street,"(42.35455655, -71.12354972039716)"
621 Commonwealth Avenue,"(42.3497494, -71.10134870499787)"
2 Silber Way,"(42.34972315, -71.10086607545841)"
Evans Biomedical Research Center,"(42.3360176, -71.0694751)"
100 Bay State Road,"(42.3497874, -71.09794138426676)"
